id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo_rechazo
79,7460,,11711.43,cerrado,siniestro_invalido
80,23359,,,,siniestro_invalido
81,10359,,,Cerrado,siniestro_invalido
83,16988,,14.09071,,siniestro_invalido
84,2227,,10.15882,Abierto,siniestro_invalido
85,7153,,5079.34,,siniestro_invalido
86,25554,,,,siniestro_invalido
87,23591,,1777.81,ABIERTO,siniestro_invalido
88,14027,,10253.14,ABIERTO,siniestro_invalido
89,12761,,14.87071,ABIERTO,siniestro_invalido
90,21277,,6602.43,Rechazado,siniestro_invalido
91,80,,12.22982,ABIERTO,siniestro_invalido
92,13736,,,,siniestro_invalido
94,15160,,3322.55,,siniestro_invalido
96,17713,,7797.66,Abierto,siniestro_invalido
97,13086,,,Rechazado,siniestro_invalido
98,19925,,1.22819,,siniestro_invalido
100,24052,,2.34267,,siniestro_invalido
102,8858,,5155.2,Cerrado,siniestro_invalido
103,19170,,10183.94,,siniestro_invalido
104,1153,,2580.4,,siniestro_invalido
106,2501,,511.1,ABIERTO,siniestro_invalido
107,17613,,11560.34,,siniestro_invalido
108,1500,,,ABIERTO,siniestro_invalido
109,9413,,4.3566,Cerrado,siniestro_invalido
110,16745,,8484.21,Abierto,siniestro_invalido
111,2641,,11886.43,cerrado,siniestro_invalido
112,6548,,13134.7,cerrado,siniestro_invalido
113,8649,,10126.28,Abierto,siniestro_invalido
115,24834,,12189.58,ABIERTO,siniestro_invalido
116,8222,,,Abierto,siniestro_invalido
117,12941,2025-12-12,,ABIERTO,siniestro_invalido
118,21719,,,ABIERTO,siniestro_invalido
119,1874,,5171.14,,siniestro_invalido
120,21805,,12403.48,Abierto,siniestro_invalido
121,3645,,13084.42,Rechazado,siniestro_invalido
122,16832,,7489.48,,siniestro_invalido
123,8567,,5749.7,Rechazado,siniestro_invalido
124,4535,,9389.56,,siniestro_invalido
125,17509,,1154.08,Cerrado,siniestro_invalido
126,13007,,13629.62,Rechazado,siniestro_invalido
127,424,,1595.62,cerrado,siniestro_invalido
128,24167,,,,siniestro_invalido
129,8836,,1652.79,Abierto,siniestro_invalido
130,14357,,,Rechazado,siniestro_invalido
131,21837,,13932.1,,siniestro_invalido
132,1290,,9918.51,,siniestro_invalido
133,5720,,,Abierto,siniestro_invalido
134,7223,,,Abierto,siniestro_invalido
135,24992,,302.32,Abierto,siniestro_invalido
136,9670,,6.04015,cerrado,siniestro_invalido
137,23959,,13295.74,Cerrado,siniestro_invalido
138,22384,,9.05184,Abierto,siniestro_invalido
139,21305,,12134.64,Rechazado,siniestro_invalido
140,21427,,12.52296,Abierto,siniestro_invalido
141,25512,,8366.08,ABIERTO,siniestro_invalido
142,14587,,,ABIERTO,siniestro_invalido
143,2790,2025-10-13,,Rechazado,siniestro_invalido
144,7956,,8822.7,ABIERTO,siniestro_invalido
145,5744,,3902.65,Abierto,siniestro_invalido
147,3192,,9549.21,cerrado,siniestro_invalido
148,9556,,,cerrado,siniestro_invalido
149,9146,,2981.78,ABIERTO,siniestro_invalido
151,2464,,3627.56,Cerrado,siniestro_invalido
153,7402,,,Abierto,siniestro_invalido
154,11333,,,,siniestro_invalido
155,17654,,13419.79,,siniestro_invalido
157,22187,,4984.64,cerrado,siniestro_invalido
158,8637,,12772.25,Rechazado,siniestro_invalido
161,12821,,1663.96,,siniestro_invalido
162,17558,,2904.94,ABIERTO,siniestro_invalido
163,3344,,,cerrado,siniestro_invalido
164,3953,,14622.5,Cerrado,siniestro_invalido
165,3478,,5.98933,cerrado,siniestro_invalido
166,3400,,11123.38,,siniestro_invalido
167,19661,,5398.38,cerrado,siniestro_invalido
168,6501,,3552.32,cerrado,siniestro_invalido
169,23178,,4944.75,cerrado,siniestro_invalido
170,14794,,,ABIERTO,siniestro_invalido
171,6401,,13.25853,Rechazado,siniestro_invalido
172,10449,,3349.56,Abierto,siniestro_invalido
174,25761,,9433.77,Rechazado,siniestro_invalido
176,14992,,7840.46,ABIERTO,siniestro_invalido
177,15938,,13797.55,,siniestro_invalido
178,22497,,12.18869,cerrado,siniestro_invalido
179,12699,,1.45235,,siniestro_invalido
180,13273,,14255.51,,siniestro_invalido
181,3779,,2915.04,Abierto,siniestro_invalido
182,6051,,4.0836,ABIERTO,siniestro_invalido
183,15820,,,Rechazado,siniestro_invalido
185,23960,,2485.0,cerrado,siniestro_invalido
186,14257,2026-01-14,,Abierto,siniestro_invalido
187,17116,,8263.06,Rechazado,siniestro_invalido
188,9285,,3554.71,,siniestro_invalido
189,11691,,,Abierto,siniestro_invalido
190,15565,,,ABIERTO,siniestro_invalido
193,19056,2025-12-02,,ABIERTO,siniestro_invalido
194,13685,,8942.15,ABIERTO,siniestro_invalido
195,3021,,1043.99,Rechazado,siniestro_invalido
196,4434,,1158.74,cerrado,siniestro_invalido
197,5812,,12.80656,,siniestro_invalido
198,3833,,9.01627,Rechazado,siniestro_invalido
199,15158,,,ABIERTO,siniestro_invalido
201,10253,,,,siniestro_invalido
202,6793,2025-08-30,,Cerrado,siniestro_invalido
203,21133,,4564.31,Rechazado,siniestro_invalido
204,11440,,,Rechazado,siniestro_invalido
205,15065,,14726.41,Cerrado,siniestro_invalido
207,10666,,10303.63,ABIERTO,siniestro_invalido
208,5006,,4.50493,cerrado,siniestro_invalido
209,16837,,11810.11,,siniestro_invalido
210,14034,,12.03608,cerrado,siniestro_invalido
212,14352,,8.84732,,siniestro_invalido
214,16890,,2780.04,ABIERTO,siniestro_invalido
216,8726,,4.34645,,siniestro_invalido
217,14431,,2.51093,Abierto,siniestro_invalido
219,25727,,,Cerrado,siniestro_invalido
220,2535,,5.00106,Abierto,siniestro_invalido
221,2986,,9139.78,Cerrado,siniestro_invalido
222,13632,,14814.18,cerrado,siniestro_invalido
223,2629,,3.64277,,siniestro_invalido
224,19260,,5466.39,Abierto,siniestro_invalido
225,19366,,851.04,,siniestro_invalido
226,12950,,2683.64,cerrado,siniestro_invalido
228,9398,,,Abierto,siniestro_invalido
229,16087,,5.95736,Cerrado,siniestro_invalido
230,19159,,1517.87,cerrado,siniestro_invalido
231,16670,,12582.5,Rechazado,siniestro_invalido
232,3014,,9726.96,Cerrado,siniestro_invalido
233,11033,,9170.56,ABIERTO,siniestro_invalido
234,16501,,,,siniestro_invalido
235,23798,,10657.43,Abierto,siniestro_invalido
236,22678,2025-11-11,,ABIERTO,siniestro_invalido
237,24184,,13713.94,,siniestro_invalido
238,19973,,,Rechazado,siniestro_invalido
239,22979,,,Cerrado,siniestro_invalido
240,15810,,,Rechazado,siniestro_invalido
242,10437,,14596.52,Rechazado,siniestro_invalido
243,9965,,4275.37,,siniestro_invalido
244,3256,,,ABIERTO,siniestro_invalido
245,5447,,14.46474,Abierto,siniestro_invalido
246,11329,,11681.88,ABIERTO,siniestro_invalido
247,23410,,8598.25,,siniestro_invalido
248,11871,,804.82,cerrado,siniestro_invalido
249,18003,,14986.14,,siniestro_invalido
250,2158,,,ABIERTO,siniestro_invalido
251,21022,2025-07-18,,Rechazado,siniestro_invalido
252,2267,,12762.64,ABIERTO,siniestro_invalido
253,1765,,10785.64,Abierto,siniestro_invalido
254,22116,,5059.14,Cerrado,siniestro_invalido
256,1939,,7149.72,,siniestro_invalido
257,15563,,7905.89,cerrado,siniestro_invalido
258,7251,,35956.0,Abierto,siniestro_invalido
259,19809,,10058.57,Cerrado,siniestro_invalido
260,17781,,14206.04,,siniestro_invalido
261,9851,,1092.58,Rechazado,siniestro_invalido
262,17232,,,ABIERTO,siniestro_invalido
263,6744,,8.22853,ABIERTO,siniestro_invalido
264,13686,,,ABIERTO,siniestro_invalido
265,217,,3763.55,ABIERTO,siniestro_invalido
266,18359,,11.32678,Rechazado,siniestro_invalido
267,13995,,6273.55,,siniestro_invalido
268,18702,,5803.93,Abierto,siniestro_invalido
269,20302,,12935.03,,siniestro_invalido
270,21104,,8284.25,ABIERTO,siniestro_invalido
271,16423,,12.53138,,siniestro_invalido
272,11306,,6748.93,ABIERTO,siniestro_invalido
273,14467,,2855.89,Abierto,siniestro_invalido
274,22521,,6246.09,,siniestro_invalido
275,19524,,10334.68,Abierto,siniestro_invalido
276,24025,,12873.15,Cerrado,siniestro_invalido
277,4835,,10216.4,,siniestro_invalido
278,12350,,2215.15,,siniestro_invalido
279,8178,,10418.51,Rechazado,siniestro_invalido
280,3145,,2.9351,,siniestro_invalido
282,11387,,5370.01,cerrado,siniestro_invalido
283,17276,,8841.01,,siniestro_invalido
284,4685,,11406.08,Abierto,siniestro_invalido
285,17418,,5091.35,Abierto,siniestro_invalido
286,14149,,7.31129,Abierto,siniestro_invalido
287,17519,,2.86986,Rechazado,siniestro_invalido
288,19817,,2.32109,Abierto,siniestro_invalido
289,2525,,6583.18,Cerrado,siniestro_invalido
290,23857,,3302.24,Cerrado,siniestro_invalido
291,367,,9606.53,,siniestro_invalido
293,10362,,8.07752,,siniestro_invalido
294,21932,,9926.07,Abierto,siniestro_invalido
295,11353,,566.0,ABIERTO,siniestro_invalido
296,2362,2026-01-11,,Rechazado,siniestro_invalido
297,7821,,3.56643,cerrado,siniestro_invalido
298,6809,,1486.47,,siniestro_invalido
300,13999,,331.95,Abierto,siniestro_invalido
301,19710,,1.42402,Cerrado,siniestro_invalido
302,22748,,5352.07,,siniestro_invalido
303,1719,,,ABIERTO,siniestro_invalido
304,2036,,8381.86,cerrado,siniestro_invalido
305,13740,,,Abierto,siniestro_invalido
306,11979,,3782.57,,siniestro_invalido
307,9896,,9098.49,,siniestro_invalido
309,22223,,11.93928,Cerrado,siniestro_invalido
310,18660,,7735.22,,siniestro_invalido
313,12886,,,ABIERTO,siniestro_invalido
314,6169,2025-08-08,,Cerrado,siniestro_invalido
316,19243,,2098.28,,siniestro_invalido
318,18504,,14001.5,Cerrado,siniestro_invalido
319,4709,,,cerrado,siniestro_invalido
320,17508,,8.64045,ABIERTO,siniestro_invalido
321,15003,,4359.69,ABIERTO,siniestro_invalido
322,19178,,10770.63,ABIERTO,siniestro_invalido
323,17082,,11204.61,,siniestro_invalido
325,25648,2025-11-14,-12.90894,,siniestro_invalido
327,8526,,13905.74,Rechazado,siniestro_invalido
328,19746,,6693.43,Abierto,siniestro_invalido
329,23344,,10541.76,Abierto,siniestro_invalido
330,13177,2025-03-09,,,siniestro_invalido
331,16704,,,,siniestro_invalido
333,21160,,6.11637,Abierto,siniestro_invalido
334,12046,,2537.12,ABIERTO,siniestro_invalido
335,12406,,319.52,Cerrado,siniestro_invalido
336,23055,2025-12-29,,,siniestro_invalido
337,15288,,4.48508,,siniestro_invalido
338,13062,,,,siniestro_invalido
339,8768,,2863.49,Abierto,siniestro_invalido
340,4853,,8.01606,ABIERTO,siniestro_invalido
341,21940,,11.85107,,siniestro_invalido
342,5070,,6723.23,,siniestro_invalido
343,25543,,4.5643,cerrado,siniestro_invalido
344,9611,,2147.03,cerrado,siniestro_invalido
345,5702,,10398.23,ABIERTO,siniestro_invalido
346,16953,,14629.39,cerrado,siniestro_invalido
347,18616,,,cerrado,siniestro_invalido
348,3786,,3.56435,,siniestro_invalido
349,18539,,-4.68476,Cerrado,siniestro_invalido
351,4779,,,Cerrado,siniestro_invalido
353,21230,2025-10-14,,Abierto,siniestro_invalido
354,23874,,12544.63,Rechazado,siniestro_invalido
355,23407,2025-08-09,,cerrado,siniestro_invalido
357,3742,,,,siniestro_invalido
359,12112,,2073.55,ABIERTO,siniestro_invalido
360,24056,,7083.76,Rechazado,siniestro_invalido
361,16268,,13927.17,ABIERTO,siniestro_invalido
362,18426,,,ABIERTO,siniestro_invalido
363,21311,,9959.61,Abierto,siniestro_invalido
365,18228,,13973.16,Cerrado,siniestro_invalido
368,14823,,1629.44,Abierto,siniestro_invalido
369,15818,,434.28,ABIERTO,siniestro_invalido
370,20114,,5559.03,ABIERTO,siniestro_invalido
372,941,,10846.29,Abierto,siniestro_invalido
373,16241,,2754.6,Cerrado,siniestro_invalido
374,24381,,,Abierto,siniestro_invalido
375,3784,,6.27859,cerrado,siniestro_invalido
377,19938,,-3081.44,Abierto,siniestro_invalido
378,4586,,2051.08,Abierto,siniestro_invalido
379,19394,,4337.43,cerrado,siniestro_invalido
380,19177,2025-11-20,,,siniestro_invalido
381,18189,,,Cerrado,siniestro_invalido
382,13149,,5788.34,,siniestro_invalido
383,3726,,,Cerrado,siniestro_invalido
385,3696,,2099.51,,siniestro_invalido
386,20394,2026-01-19,,,siniestro_invalido
388,8625,,4076.28,,siniestro_invalido
389,21668,,11042.25,ABIERTO,siniestro_invalido
390,840,,10747.46,ABIERTO,siniestro_invalido
391,24690,,5736.62,,siniestro_invalido
392,20920,,1035.65,cerrado,siniestro_invalido
393,19824,,,,siniestro_invalido
396,986,,8896.66,ABIERTO,siniestro_invalido
397,22624,,6819.88,cerrado,siniestro_invalido
398,10478,,7566.63,Abierto,siniestro_invalido
399,1386,,1160.69,ABIERTO,siniestro_invalido
401,12559,,,Rechazado,siniestro_invalido
403,9469,,3.66472,Cerrado,siniestro_invalido
404,4048,,,,siniestro_invalido
405,17081,,13.44595,Abierto,siniestro_invalido
406,13593,,1225.41,cerrado,siniestro_invalido
407,15499,,,ABIERTO,siniestro_invalido
408,15018,,13987.17,,siniestro_invalido
409,4598,,14385.55,ABIERTO,siniestro_invalido
410,20008,,90844.0,,siniestro_invalido
411,15930,,,Abierto,siniestro_invalido
413,15474,,11665.1,cerrado,siniestro_invalido
415,10705,,4.37208,,siniestro_invalido
416,1066,,2268.69,Rechazado,siniestro_invalido
417,24940,,11978.74,ABIERTO,siniestro_invalido
418,19027,,,Abierto,siniestro_invalido
420,15208,,14567.87,Rechazado,siniestro_invalido
421,5615,,9.7449,,siniestro_invalido
422,9973,,5901.69,ABIERTO,siniestro_invalido
423,11261,,,Abierto,siniestro_invalido
424,11599,,2.65634,Cerrado,siniestro_invalido
425,6477,,11168.31,ABIERTO,siniestro_invalido
426,24821,,9.78635,Cerrado,siniestro_invalido
427,19205,,8.9615,,siniestro_invalido
428,20511,,1.74182,,siniestro_invalido
430,9420,,14797.54,Rechazado,siniestro_invalido
431,16556,,,Cerrado,siniestro_invalido
432,3991,,12934.03,Cerrado,siniestro_invalido
433,13660,,4257.18,Rechazado,siniestro_invalido
434,9923,,10300.58,Cerrado,siniestro_invalido
435,15659,,,,siniestro_invalido
436,4058,,13.14269,,siniestro_invalido
437,23431,,9923.03,Rechazado,siniestro_invalido
438,20439,,,cerrado,siniestro_invalido
439,23475,,,,siniestro_invalido
440,16397,,8.35938,Rechazado,siniestro_invalido
441,22684,,10554.36,Rechazado,siniestro_invalido
442,25876,,14722.0,Rechazado,siniestro_invalido
444,23715,,2.74813,,siniestro_invalido
445,7801,2025-01-27,,Rechazado,siniestro_invalido
446,849,,966.15,,siniestro_invalido
448,13756,,8492.99,Cerrado,siniestro_invalido
449,10005,,9876.19,Abierto,siniestro_invalido
450,18661,,2919.02,Rechazado,siniestro_invalido
451,3111,,12498.73,Cerrado,siniestro_invalido
454,18671,,14655.73,,siniestro_invalido
455,11674,2025-05-22,,cerrado,siniestro_invalido
456,6812,,10.45709,,siniestro_invalido
457,4234,2025-10-22,,Rechazado,siniestro_invalido
458,22894,,13379.41,,siniestro_invalido
459,19084,,11662.9,,siniestro_invalido
460,9557,,11367.71,,siniestro_invalido
461,9517,,,,siniestro_invalido
462,1370,,2238.16,Rechazado,siniestro_invalido
463,1315,,9.40353,cerrado,siniestro_invalido
464,7665,,6095.66,ABIERTO,siniestro_invalido
465,4729,,13763.87,Cerrado,siniestro_invalido
466,19556,,92956.0,cerrado,siniestro_invalido
467,12477,,12448.85,Cerrado,siniestro_invalido
468,7145,,9748.24,Rechazado,siniestro_invalido
470,7885,,9856.68,Cerrado,siniestro_invalido
472,4686,,7740.48,Abierto,siniestro_invalido
474,12213,,,,siniestro_invalido
475,13039,,,,siniestro_invalido
476,4147,,,Rechazado,siniestro_invalido
477,23464,,4.56133,Rechazado,siniestro_invalido
478,15010,,11687.78,Abierto,siniestro_invalido
479,4770,,,Cerrado,siniestro_invalido
480,23674,,19204.0,,siniestro_invalido
481,5991,,,Rechazado,siniestro_invalido
483,1067,,5.41194,,siniestro_invalido
484,10177,,9795.3,Rechazado,siniestro_invalido
485,23236,,9341.17,,siniestro_invalido
486,16519,,4527.06,Cerrado,siniestro_invalido
488,7922,2025-08-05,,Abierto,siniestro_invalido
489,6169,,10359.49,cerrado,siniestro_invalido
490,9596,,-6745.26,,siniestro_invalido
491,10798,,11866.01,cerrado,siniestro_invalido
495,3898,,12.25539,,siniestro_invalido
496,9321,,59785.0,ABIERTO,siniestro_invalido
497,17866,,5018.42,,siniestro_invalido
498,16934,,6.66581,,siniestro_invalido
500,24173,,6.63352,Rechazado,siniestro_invalido
501,1935,,9456.55,Abierto,siniestro_invalido
503,13990,,4.63432,cerrado,siniestro_invalido
504,12911,,12735.57,ABIERTO,siniestro_invalido
505,9535,,13.92133,Rechazado,siniestro_invalido
506,23610,,,,siniestro_invalido
507,14126,,7410.93,,siniestro_invalido
508,11505,,4336.27,,siniestro_invalido
509,9632,,11512.22,,siniestro_invalido
510,24704,,,Abierto,siniestro_invalido
511,9290,,2170.06,,siniestro_invalido
512,25808,,1956.2,ABIERTO,siniestro_invalido
513,19811,,,ABIERTO,siniestro_invalido
514,749,,,Abierto,siniestro_invalido
515,7931,,7142.51,ABIERTO,siniestro_invalido
517,19123,,,Rechazado,siniestro_invalido
518,5192,,,Cerrado,siniestro_invalido
519,2775,,11906.59,Abierto,siniestro_invalido
520,17065,,8.46437,ABIERTO,siniestro_invalido
521,2027,,2008.92,ABIERTO,siniestro_invalido
522,8459,,5956.22,ABIERTO,siniestro_invalido
524,3266,,,ABIERTO,siniestro_invalido
525,9683,,4540.67,Cerrado,siniestro_invalido
526,6685,,96571.0,Cerrado,siniestro_invalido
527,17205,,12224.81,Cerrado,siniestro_invalido
528,21844,,1897.7,,siniestro_invalido
529,1551,,12.58402,cerrado,siniestro_invalido
531,16681,,,Cerrado,siniestro_invalido
532,13554,,10.45723,Rechazado,siniestro_invalido
533,1400,,778.9,ABIERTO,siniestro_invalido
534,13893,,2203.47,Abierto,siniestro_invalido
535,17558,,77573.0,Cerrado,siniestro_invalido
536,1687,,8216.35,Abierto,siniestro_invalido
537,10763,,6960.69,cerrado,siniestro_invalido
539,15629,,62903.0,ABIERTO,siniestro_invalido
540,24874,,6239.3,Rechazado,siniestro_invalido
541,17082,,12640.91,,siniestro_invalido
543,22193,,,,siniestro_invalido
544,13123,,8.41973,ABIERTO,siniestro_invalido
545,14630,,965.14,cerrado,siniestro_invalido
546,2269,,6320.76,cerrado,siniestro_invalido
547,18971,,13821.43,ABIERTO,siniestro_invalido
548,320,,6.63652,,siniestro_invalido
549,10771,,-9024.61,ABIERTO,siniestro_invalido
550,25667,,3.598,ABIERTO,siniestro_invalido
551,21438,,5836.89,Abierto,siniestro_invalido
552,2165,,11024.33,cerrado,siniestro_invalido
553,21888,,3112.17,Cerrado,siniestro_invalido
554,25784,2025-05-10,,cerrado,siniestro_invalido
556,6947,,,Abierto,siniestro_invalido
557,6868,,5.32591,Cerrado,siniestro_invalido
558,21780,,10.75361,Cerrado,siniestro_invalido
559,24920,,,,siniestro_invalido
560,3151,,-1744.2,Abierto,siniestro_invalido
561,8177,,3376.64,Cerrado,siniestro_invalido
562,15715,,4.47951,Cerrado,siniestro_invalido
564,21307,,11816.47,Rechazado,siniestro_invalido
565,19612,,,Rechazado,siniestro_invalido
566,7229,,8102.59,Rechazado,siniestro_invalido
567,21236,,542.33,,siniestro_invalido
568,7634,,,,siniestro_invalido
570,25508,,9919.76,Cerrado,siniestro_invalido
571,354,,11.6243,Rechazado,siniestro_invalido
573,5994,,8.06422,cerrado,siniestro_invalido
574,21648,2025-06-23,,Cerrado,siniestro_invalido
575,17032,,6.00623,Cerrado,siniestro_invalido
576,20005,,3.66061,Abierto,siniestro_invalido
577,9416,,7281.78,Abierto,siniestro_invalido
579,6238,2025-06-25,-67622.0,Rechazado,siniestro_invalido
580,21031,,14.72612,Abierto,siniestro_invalido
581,17730,,6180.21,,siniestro_invalido
583,15892,,9.32333,Rechazado,siniestro_invalido
584,7265,,,,siniestro_invalido
585,2185,,14.34709,cerrado,siniestro_invalido
586,5064,,3427.67,Cerrado,siniestro_invalido
587,22918,,2427.43,,siniestro_invalido
588,9780,,12340.44,ABIERTO,siniestro_invalido
589,23761,,1722.65,cerrado,siniestro_invalido
590,1390,,5100.16,cerrado,siniestro_invalido
591,24753,,9.24395,ABIERTO,siniestro_invalido
592,11961,,8976.92,,siniestro_invalido
593,25605,,6324.53,,siniestro_invalido
594,24598,,2947.86,Rechazado,siniestro_invalido
595,16802,,,cerrado,siniestro_invalido
596,20730,,-13047.91,Abierto,siniestro_invalido
597,22326,,11586.97,,siniestro_invalido
598,15220,,263.87,Rechazado,siniestro_invalido
599,20491,,567.78,Cerrado,siniestro_invalido
600,25582,,13159.89,,siniestro_invalido
601,12091,2025-03-02,,Abierto,siniestro_invalido
603,17985,,14180.71,ABIERTO,siniestro_invalido
604,1034,,7672.14,,siniestro_invalido
605,24391,,,Cerrado,siniestro_invalido
607,7941,,2490.28,,siniestro_invalido
608,24323,,5670.57,Abierto,siniestro_invalido
609,13678,,5395.55,Abierto,siniestro_invalido
610,22850,,11563.14,Abierto,siniestro_invalido
611,17162,,,Abierto,siniestro_invalido
612,3316,,,,siniestro_invalido
613,22432,,11453.7,Abierto,siniestro_invalido
615,11298,,9282.91,Rechazado,siniestro_invalido
616,6056,,5153.3,Abierto,siniestro_invalido
617,17670,2025-02-03,,Rechazado,siniestro_invalido
618,1023,,,Rechazado,siniestro_invalido
619,3397,,10501.36,Abierto,siniestro_invalido
621,2841,,5695.4,,siniestro_invalido
622,1623,,8.78283,,siniestro_invalido
623,10760,,14910.95,,siniestro_invalido
624,11022,,13.43662,Cerrado,siniestro_invalido
625,24203,2025-06-21,,Rechazado,siniestro_invalido
626,22538,,4677.56,ABIERTO,siniestro_invalido
627,471,,6150.14,Rechazado,siniestro_invalido
628,23681,,,,siniestro_invalido
629,9818,2025-11-08,,ABIERTO,siniestro_invalido
631,3214,,14084.12,Rechazado,siniestro_invalido
633,5243,,1215.3,Rechazado,siniestro_invalido
634,18267,,6524.1,,siniestro_invalido
635,13335,,2689.49,Cerrado,siniestro_invalido
636,22410,2025-02-21,,,siniestro_invalido
637,22494,,8852.96,ABIERTO,siniestro_invalido
638,19539,,10177.49,Abierto,siniestro_invalido
639,10248,,1516.11,,siniestro_invalido
640,13475,,12.93319,Abierto,siniestro_invalido
641,21496,,8941.22,Abierto,siniestro_invalido
643,4604,,13596.15,Cerrado,siniestro_invalido
644,21088,,5253.85,,siniestro_invalido
645,11915,,8814.08,cerrado,siniestro_invalido
646,4770,,5803.73,Abierto,siniestro_invalido
647,22110,,,Cerrado,siniestro_invalido
648,4252,,7.22664,Abierto,siniestro_invalido
649,12061,,8161.32,Abierto,siniestro_invalido
650,24671,,6124.17,Rechazado,siniestro_invalido
651,16433,,10165.98,,siniestro_invalido
652,8973,,,ABIERTO,siniestro_invalido
653,8325,,3436.47,,siniestro_invalido
657,23993,,12774.15,cerrado,siniestro_invalido
658,9973,,7195.36,Rechazado,siniestro_invalido
659,8391,,8.12814,cerrado,siniestro_invalido
660,24254,,4004.38,cerrado,siniestro_invalido
661,6981,,,,siniestro_invalido
662,15605,2025-12-16,,Abierto,siniestro_invalido
663,15104,,13252.17,,siniestro_invalido
664,5731,,5577.51,,siniestro_invalido
665,21165,,9060.55,cerrado,siniestro_invalido
666,10515,,1415.47,,siniestro_invalido
667,22850,,14.33309,Rechazado,siniestro_invalido
668,12401,2025-04-01,,Rechazado,siniestro_invalido
669,17465,,1905.81,Abierto,siniestro_invalido
671,9678,,3157.22,,siniestro_invalido
672,18183,,14404.32,,siniestro_invalido
673,12793,,7026.08,cerrado,siniestro_invalido
674,9099,,5490.56,ABIERTO,siniestro_invalido
675,4118,,11.46898,,siniestro_invalido
676,25652,,4329.18,,siniestro_invalido
677,19888,,8543.66,ABIERTO,siniestro_invalido
678,24681,,1097.13,Rechazado,siniestro_invalido
681,6234,2025-10-15,,,siniestro_invalido
682,23566,,13.62041,Rechazado,siniestro_invalido
683,23539,,10505.35,Cerrado,siniestro_invalido
684,13740,,13370.29,cerrado,siniestro_invalido
685,8447,,5431.73,cerrado,siniestro_invalido
686,20908,,7.23655,,siniestro_invalido
687,15875,,,Rechazado,siniestro_invalido
688,9946,,10.89334,,siniestro_invalido
